Codigo COL,Proyecto,Desarrollador,Tipo de Modelo,Nombre Modelo,Precio Promedio Inv.,$M2 Promedio Inv,Metrajes (M2),Dormitorios,Baños,Cajones,Unidades Totales,Unidades Inventario,Meses en el Mercado,Ventas,Abs
CAB-09279,Mare,Cuadro,Tradicional,Tipo 303,15449410.291199997,51156.98771920529,302,3 Recámaras,3.0,2.0,4.0,1.0,24.0,3.0,0.125
CAB-09279,Mare,Cuadro,Tradicional,Tipo 310,15792364.978628753,51107.97727711571,309,3 Recámaras,3.0,2.0,4.0,0.0,24.0,4.0,0.16666666666666666
CAB-08415,Laiva Art Walk,Otro,Lock off,2R GARDEN  LOCK OFF,12374444.790833332,95925.9286111111,129,2 Recámaras,2.0,1.0,2.0,1.0,21.0,1.0,0.047619047619047616
CAB-08415,Laiva Art Walk,Otro,Lock off,2R LOCK OFF,10261125.976538463,95898.37361250899,107,2 Recámaras,2.0,1.0,9.0,1.0,21.0,8.0,0.38095238095238093
CAB-08415,Laiva Art Walk,Otro,Lock off,3R GARDEN LOCK OFF,13233556.702857144,92542.35456543458,143,3 Recámaras,3.0,2.0,1.0,1.0,21.0,0.0,0.0
CAB-08415,Laiva Art Walk,Otro,Lock off,3R LOCK OFF,9602037.45,78705.22499999999,122,3 Recámaras,3.0,2.0,1.0,0.0,21.0,1.0,0.047619047619047616
CAB-08415,Laiva Art Walk,Otro,Penthouse,1R PH,8381251.004545453,106091.78486766396,79,1 Recámara,1.0,1.0,3.0,0.0,21.0,3.0,0.14285714285714285
CAB-08415,Laiva Art Walk,Otro,Penthouse,2R LOCK OFF PH,9561096.383000001,90199.0224811321,106,2 Recámaras,2.0,1.0,4.0,0.0,21.0,4.0,0.19047619047619047
CAB-08415,Laiva Art Walk,Otro,Penthouse,2R PH,9195750,93834.1836734694,98,2 Recámaras,2.0,1.0,1.0,0.0,21.0,1.0,0.047619047619047616
CAB-08415,Laiva Art Walk,Otro,Penthouse,3R LOCK OFF PH,11786794.225,96613.06741803278,122,3 Recámaras,3.0,2.0,2.0,0.0,21.0,2.0,0.09523809523809523
CAB-08415,Laiva Art Walk,Otro,Tradicional,1R GARDEN,7853032.449999999,80132.98418367346,98,1 Recámara,1.0,1.0,1.0,0.0,21.0,1.0,0.047619047619047616
CAB-08415,Laiva Art Walk,Otro,Tradicional,1R STANDAD,8203303.924827587,102541.29906034484,80,1 Recámara,1.0,1.0,8.0,2.0,21.0,6.0,0.2857142857142857
